Tube.ID,colony_id,Squares.Counted,Count1,Count2,Count3,Count4,Count5,Count6,Dilution
1,1-ACR-1,1,158,160,234,203,249,190,1
2,1-ACR-2,1,81,91,86,94,NA,NA,1
3,1-ACR-3,1,178,194,200,271,217,199,1
4,1-POC-1,3,147,149,171,177,177,183,1
5,1-POC-2,3,173,139,163,158,158,161,1
6,1-POC-3,3,110,83,98,94,94,100,1
7,1-POR-1,2,142,125,132,115,115,123,1
8,1-POR-2,2,94,103,85,114,114,102,1
9,1-POR-3,2,117,120,121,102,102,133,1
10,2-ACR-1,1,289,226,256,249,249,279,1
11,2-ACR-2,1,191,171,170,204,204,173,1
12,2-ACR-3,2,171,174,150,142,142,166,1
13,2-POC-1,2,170,158,173,165,165,186,1
14,2-POC-2,2,103,130,108,121,121,120,1
15,2-POC-3,4,105,92,86,88,88,94,1
16,2-POR-1,5,220,179,167,168,168,173,1
17,2-POR-2,5,102,107,111,105,105,110,1
18,2-POR-3,5,139,147,125,109,109,175,1
19,3-POR-1,1,128,134,145,148,148,138,1
20,3-POR-2,1,134,138,162,148,148,135,1
21,3-POR-3,1,139,143,149,149,149,153,1
22,3-POC-1,1,132,167,125,117,117,138,1
23,3-POC-2,1,88,89,85,76,76,87,1
24,3-POC-3,1,118,128,94,113,113,101,1
25,Apul_218,1,112,126,105,116,116,123,1
26,Apul_237,1,186,158,170,163,163,148,1
27,Apul_246,2,166,150,120,159,159,146,1
28,Apul_227,2,200,192,211,193,195,209,1
29,Apul_234,1,245,255,223,251,244,224,1
30,Apul_247,1,144,157,156,140,160,153,1
31,Apul_267,2,160,191,188,193,180,191,1
32,Apul_231,2,121,125,130,150,113,101,1
33,Apul_243,1,99,116,91,93,102,108,1
34,Apul_244,3,127,141,105,134,114,91,1
