Tube.ID,Sample.ID,Homog.Vol.ml,Species,Site
1,1-ACR-1,16,Apulchra,Site1
2,1-ACR-2,13,Apulchra,Site1
3,1-ACR-3,14.5,Apulchra,Site1
4,1-POC-1,34,Pocillopora,Site1
5,1-POC-2,32.5,Pocillopora,Site1
6,1-POC-3,42.5,Pocillopora,Site1
7,1-POR-1,40,Porites,Site1
8,1-POR-2,42.5,Porites,Site1
9,1-POR-3,100,Porites,Site1
10,2-ACR-1,8,Apulchra,Site2
11,2-ACR-2,17.5,Apulchra,Site2
12,2-ACR-3,22.5,Apulchra,Site2
13,2-POC-1,20,Pocillopora,Site2
14,2-POC-2,27.5,Pocillopora,Site2
15,2-POC-3,37.5,Pocillopora,Site2
16,2-POR-1,50,Porites,Site2
17,2-POR-2,98.5,Porites,Site2
18,2-POR-3,150,Porites,Site2
19,3-POR-1,37.5,Porites,Site3
20,3-POR-2,97.5,Porites,Site3
21,3-POR-3,54,Porites,Site3
22,3-POC-1,17,Pocillopora,Site3
23,3-POC-2,13.5,Pocillopora,Site3
24,3-POC-3,27.5,Pocillopora,Site3
25,Apul_218,13.5,Apulchra,Apul
26,Apul_237,13.5,Apulchra,Apul
27,Apul_246,26,Apulchra,Apul
28,Apul_227,9.5,Apulchra,Apul
29,Apul_234,11,Apulchra,Apul
30,Apul_247,26,Apulchra,Apul
31,Apul_267,45,Apulchra,Apul
32,Apul_231,19,Apulchra,Apul
33,Apul_243,12.5,Apulchra,Apul
34,Apul_244,27.5,Apulchra,Apul
