Plate 1,,,,Plate 2,,,
,Inital,,Final,,Inital,,Final
Well,490,Well,490,Well,490,Well,490
A1,0.043,A1,1.573,A1,0.051,A1,0.257
B1,0.042,B1,0.098,B1,0.055,B1,0.209
C1,0.274,C1,0.451,C1,0.071,C1,0.235
D1,0.135,D1,0.519,D1,0.065,D1,0.815
E1,0.155,E1,0.324,E1,0.053,E1,0.178
F1,0.32,F1,1.679,F1,0.058,F1,0.136
G1,0.13,G1,0.223,G1,0.045,G1,0.045
H1,0.148,H1,0.301,H1,0.046,H1,0.046
A2,0.043,A2,1.568,A2,0.053,A2,0.26
B2,0.042,B2,0.108,B2,0.055,B2,0.208
C2,0.297,C2,0.457,C2,0.071,C2,0.242
D2,0.147,D2,0.548,D2,0.064,D2,0.783
E2,0.157,E2,0.342,E2,0.049,E2,0.173
F2,0.399,F2,1.763,F2,0.06,F2,0.137
G2,0.126,G2,0.225,G2,0.045,G2,0.045
H2,0.153,H2,0.309,H2,0.045,H2,0.045
A3,0.043,A3,0.844,A3,0.05,A3,0.215
B3,0.042,B3,0.082,B3,0.048,B3,0.167
C3,0.139,C3,0.291,C3,0.052,C3,0.192
D3,0.251,D3,0.433,D3,0.077,D3,0.794
E3,0.153,E3,0.6,E3,0.056,E3,0.19
F3,0.264,F3,0.471,F3,0.05,F3,0.126
G3,0.121,G3,0.218,G3,0.044,G3,0.044
H3,0.09,H3,0.147,H3,0.046,H3,0.046
A4,0.044,A4,0.849,A4,0.051,A4,0.201
B4,0.041,B4,0.081,B4,0.048,B4,0.166
C4,0.152,C4,0.298,C4,0.05,C4,0.203
D4,0.255,D4,0.451,D4,0.077,D4,0.803
E4,0.149,E4,0.606,E4,0.056,E4,0.194
F4,0.271,F4,0.482,F4,0.052,F4,0.136
G4,0.115,G4,0.227,G4,0.046,G4,0.046
H4,0.087,H4,0.151,H4,0.047,H4,0.046
A5,0.043,A5,0.458,A5,0.056,A5,0.235
B5,0.042,B5,0.08,B5,0.052,B5,0.239
C5,0.145,C5,0.276,C5,0.069,C5,0.26
D5,0.207,D5,0.439,D5,0.071,D5,0.896
E5,0.123,E5,0.462,E5,0.055,E5,0.146
F5,0.246,F5,0.425,F5,0.052,F5,0.185
G5,0.164,G5,0.269,G5,0.044,G5,0.044
H5,0.053,H5,0.488,H5,0.046,H5,0.046
A6,0.042,A6,0.471,A6,0.057,A6,0.242
B6,0.043,B6,0.08,B6,0.053,B6,0.246
C6,0.157,C6,0.287,C6,0.071,C6,0.253
D6,0.222,D6,0.436,D6,0.077,D6,0.964
E6,0.125,E6,0.476,E6,0.055,E6,0.141
F6,0.255,F6,0.45,F6,0.052,F6,0.18
G6,0.167,G6,0.277,G6,0.045,G6,0.046
H6,0.055,H6,0.501,H6,0.045,H6,0.045
A7,0.042,A7,0.268,A7,0.057,A7,0.202
B7,0.042,B7,0.074,B7,0.056,B7,0.259
C7,0.137,C7,0.281,C7,0.055,C7,0.255
D7,0.141,D7,0.299,D7,0.083,D7,0.278
E7,0.122,E7,0.592,E7,0.05,E7,0.141
F7,0.256,F7,0.456,F7,0.051,F7,0.112
G7,0.166,G7,0.281,G7,0.047,G7,0.047
H7,0.053,H7,0.637,H7,0.045,H7,0.045
A8,0.042,A8,0.268,A8,0.056,A8,0.2
B8,0.042,B8,0.074,B8,0.057,B8,0.262
C8,0.14,C8,0.284,C8,0.056,C8,0.263
D8,0.143,D8,0.307,D8,0.082,D8,0.277
E8,0.115,E8,0.551,E8,0.05,E8,0.148
F8,0.258,F8,0.468,F8,0.05,F8,0.112
G8,0.172,G8,0.289,G8,0.047,G8,0.047
H8,0.053,H8,0.641,H8,0.046,H8,0.046
A9,0.043,A9,0.171,A9,0.056,A9,0.179
B9,0.164,B9,0.361,B9,0.054,B9,0.256
C9,0.125,C9,0.421,C9,0.05,C9,0.199
D9,0.301,D9,0.476,D9,0.065,D9,0.238
E9,0.262,E9,1.586,E9,0.052,E9,0.152
F9,0.168,F9,0.287,F9,0.045,F9,0.045
G9,0.128,G9,0.213,G9,0.046,G9,0.046
H9,0.059,H9,0.839,H9,0.045,H9,0.045
A10,0.042,A10,0.172,A10,0.054,A10,0.169
B10,0.182,B10,0.388,B10,0.056,B10,0.263
C10,0.127,C10,0.422,C10,0.052,C10,0.227
D10,0.283,D10,0.481,D10,0.066,D10,0.238
E10,0.272,E10,1.593,E10,0.053,E10,0.154
F10,0.165,F10,0.294,F10,0.047,F10,0.049
G10,0.129,G10,0.206,G10,0.045,G10,0.045
H10,0.062,H10,0.835,H10,0.047,H10,0.047
A11,0.042,A11,0.121,A11,0.063,A11,0.198
B11,0.191,B11,0.337,B11,0.047,B11,0.187
C11,0.112,C11,0.334,C11,0.051,C11,0.228
D11,0.167,D11,0.317,D11,0.08,D11,0.262
E11,0.279,E11,1.49,E11,0.064,E11,0.176
F11,0.21,F11,0.341,F11,0.046,F11,0.046
G11,0.126,G11,0.205,G11,0.045,G11,0.045
H11,0.042,H11,0.097,H11,0.044,H11,0.044
A12,0.042,A12,0.122,A12,0.064,A12,0.203
B12,0.186,B12,0.348,B12,0.047,B12,0.191
C12,0.112,C12,0.335,C12,0.052,C12,0.242
D12,0.173,D12,0.316,D12,0.082,D12,0.271
E12,0.284,E12,1.547,E12,0.062,E12,0.173
F12,0.222,F12,0.366,F12,0.046,F12,0.046
G12,0.12,G12,0.203,G12,0.046,G12,0.046
H12,0.042,H12,0.097,H12,0.045,H12,0.045
