Stnd.ID,surface.area.cm2,weight1.g,weight2.g
Stnd1,87.735493,34.785,36.83
Stnd2,83.74567033,30.55,32.436
Stnd3,75.76602499,25.416,27.118
Stnd4,59.80673431,19.133,20.321
Stnd5,51.19402759,13.178,14.307
Stnd6,46.19889528,11.654,12.806
Stnd7,31.21349832,9.121,9.793
Stnd8,34.0873226,8.65,9.594
Stnd9,20.26431493,5.674,6.151
Stnd10,13.35281109,3.6,3.86
Stnd11,8.985479616,1.927,2.088
Stnd12,6.503621419,1.377,1.482
Stnd13,4.021763223,1.244,1.302
