well,colony_id
A1,StandardA
A2,StandardA
A3,StandardB
A4,StandardB
A5,StandardC
A6,StandardC
A7,StandardD
A8,StandardD
A9,StandardE
A10,StandardE
A11,StandardF
A12,StandardF
B1,StandardG
B2,StandardG
B3,StandardH
B4,StandardH
B5,StandardI
B6,StandardI
B7,1-ACR-1
B8,1-ACR-1
B9,1-ACR-2
B10,1-ACR-2
B11,1-ACR-3
B12,1-ACR-3
C1,1-POC-1
C2,1-POC-1
C3,1-POC-2
C4,1-POC-2
C5,1-POC-3
C6,1-POC-3
C7,1-POR-1
C8,1-POR-1
C9,1-POR-2
C10,1-POR-2
C11,1-POR-3
C12,1-POR-3
D1,2-ACR-1
D2,2-ACR-1
D3,2-ACR-2
D4,2-ACR-2
D5,2-ACR-3
D6,2-ACR-3
D7,2-POC-1
D8,2-POC-1
D9,2-POC-2
D10,2-POC-2
D11,2-POC-3
D12,2-POC-3
E1,2-POR-1
E2,2-POR-1
E3,2-POR-2
E4,2-POR-2
E5,2-POR-3
E6,2-POR-3
E7,3-POR-1
E8,3-POR-1
E9,3-POR-2
E10,3-POR-2
E11,3-POR-3
E12,3-POR-3
F1,3-POC-1
F2,3-POC-1
F3,3-POC-2
F4,3-POC-2
F5,3-POC-3
F6,3-POC-3
F7,Apul_218
F8,Apul_218
F9,Apul_237
F10,Apul_237
F11,Apul_246
F12,Apul_246
G1,Apul_227
G2,Apul_227
G3,Apul_234
G4,Apul_234
G5,Apul_247
G6,Apul_247
G7,Apul_267
G8,Apul_267
G9,Apul_231
G10,Apul_231
G11,Apul_243
G12,Apul_243
H1,Apul_244
H2,Apul_244
H3,NA
H4,NA
H5,NA
H6,NA
H7,NA
H8,NA
H9,NA
H10,NA
H11,NA
H12,NA
