Run,Light_Level,Light_Value,Date,Start.time,Stop.time
1,1,0,20191024,16:17:00,16:28:00
1,2,25,20191024,16:30:00,16:40:00
1,3,45,20191024,16:42:00,16:53:00
1,4,73,20191024,16:55:00,17:05:00
1,5,127,20191024,17:07:00,17:20:00
1,6,175,20191024,17:22:00,17:36:00
1,7,339,20191024,17:38:00,17:47:00
1,8,547,20191024,17:48:00,17:55:00
1,9,734,20191024,17:57:00,18:03:00
1,10,886,20191024,18:05:00,18:13:00
1,11,1125,20191024,18:15:00,18:26:00
1,12,1027,20191024,18:24:00,18:31:00
2,1,0,20191025,10:28:00,10:39:00
2,2,25,20191025,10:41:00,10:49:00
2,3,42.83333333,20191025,10:51:00,10:59:00
2,4,67.83333333,20191025,11:00:00,11:09:00
2,5,115.3333333,20191025,11:11:00,11:24:00
2,6,165.5,20191025,11:26:00,11:47:00
2,7,315,20191025,11:49:00,12:01:00
2,8,493.5,20191025,12:03:00,12:10:00
2,9,677,20191025,12:12:00,12:19:00
2,10,815.5,20191025,12:21:00,12:31:00
2,11,1072.833333,20191025,12:33:00,13:41:00
2,12,1286.666667,20191025,12:43:00,12:49:00
3,1,0,20191025,13:38:00,13:46:00
3,2,25,20191025,13:48:00,13:54:00
3,3,42.83333333,20191025,13:56:00,14:12:00
3,4,67.83333333,20191025,14:14:00,14:30:00
3,5,115.3333333,20191025,14:32:00,14:42:00
3,6,165.5,20191025,14:44:00,14:54:00
3,7,315,20191025,15:00:00,15:11:00
3,8,493.5,20191025,15:13:00,15:24:00
3,9,677,20191025,15:26:00,15:36:00
3,10,815.5,20191025,15:38:00,15:46:00
3,11,1072.833333,20191025,15:49:00,15:56:00
3,12,1286.666667,20191025,15:58:00,16:05:00
4,1,0,20191029,8:12:00,8:20:00
4,2,27,20191029,8:21:00,8:32:00
4,3,47.5,20191029,8:34:00,8:45:00
4,4,73.8,20191029,8:47:00,8:55:00
4,5,125.3,20191029,8:57:00,9:10:00
4,6,179.7,20191029,9:12:00,9:21:00
4,7,341.5,20191029,9:23:00,9:32:00
4,8,538.8,20191029,9:34:00,9:43:00
4,9,688.5,20191029,9:47:00,9:56:00
4,10,929.7,20191029,9:58:00,10:08:00
4,11,1160.5,20191029,10:10:00,10:21:00
4,12,1286,20191029,10:23:00,10:35:00
5,1,0,20191029,11:28:00,11:41:00
5,2,27,20191029,11:43:00,11:52:00
5,3,47.5,20191029,11:54:00,12:03:00
5,4,73.8,20191029,12:05:00,12:12:00
5,5,125.3,20191029,12:15:00,12:25:00
5,6,179.7,20191029,12:27:00,12:36:00
5,7,341.5,20191029,12:38:00,12:48:00
5,8,538.8,20191029,12:50:00,13:00:00
5,9,688.5,20191029,13:03:00,13:11:00
5,10,929.7,20191029,13:13:00,13:22:00
5,11,1160.5,20191029,13:25:00,13:37:00
5,12,1286,20191029,13:38:00,13:48:00
