well,tube_id,colony_id
A1,1,1-ACR-1
A2,1,1-ACR-1
A3,2,1-ACR-2
A4,2,1-ACR-2
A5,3,1-ACR-3
A6,3,1-ACR-3
A7,4,1-POC-1
A8,4,1-POC-1
A9,5,1-POC-2
A10,5,1-POC-2
A11,6,1-POC-3
A12,6,1-POC-3
B1,7,1-POR-1
B2,7,1-POR-1
B3,8,1-POR-2
B4,8,1-POR-2
B5,9,1-POR-3
B6,9,1-POR-3
B7,10,2-ACR-1
B8,10,2-ACR-1
B9,11,2-ACR-2
B10,11,2-ACR-2
B11,12,2-ACR-3
B12,12,2-ACR-3
C1,13,2-POC-1
C2,13,2-POC-1
C3,14,2-POC-2
C4,14,2-POC-2
C5,15,2-POC-3
C6,15,2-POC-3
C7,16,2-POR-1
C8,16,2-POR-1
C9,17,2-POR-2
C10,17,2-POR-2
C11,18,2-POR-3
C12,18,2-POR-3
D1,19,3-POR-1
D2,19,3-POR-1
D3,20,3-POR-2
D4,20,3-POR-2
D5,21,3-POR-3
D6,21,3-POR-3
D7,22,3-POC-1
D8,22,3-POC-1
D9,23,3-POC-2
D10,23,3-POC-2
D11,24,3-POC-3
D12,24,3-POC-3
E1,25,Apul_218
E2,25,Apul_218
E3,26,Apul_237
E4,26,Apul_237
E5,27,Apul_246
E6,27,Apul_246
E7,28,Apul_227
E8,28,Apul_227
E9,29,Apul_234
E10,29,Apul_234
E11,30,Apul_247
E12,30,Apul_247
F1,31,Apul_267
F2,31,Apul_267
F3,32,Apul_231
F4,32,Apul_231
F5,33,Apul_243
F6,33,Apul_243
F7,34,Apul_244
F8,34,Apul_244
F9,H2O,Water
F10,H2O,Water
F11,Ace,BK
F12,Ace,BK
G1,NA,NA
G2,NA,NA
G3,NA,NA
G4,NA,NA
G5,NA,NA
G6,NA,NA
G7,NA,NA
G8,NA,NA
G9,NA,NA
G10,NA,NA
G11,NA,NA
G12,NA,NA
H1,NA,NA
H2,NA,NA
H3,NA,NA
H4,NA,NA
H5,NA,NA
H6,NA,NA
H7,NA,NA
H8,NA,NA
H9,NA,NA
H10,NA,NA
H11,NA,NA
H12,NA,NA
