,colony_id,cre.umol.mgprot,timepoint,Host_AFDW.mg.cm2,Sym_AFDW.mg.cm2,Host_DW.mg.cm2,Sym_DW.mg.cm2,chla.ug.cm2,chlc2.ug.cm2,prot_ug.cm2,surface.area.cm2,cells.cm2,Am,AQY,Rd,month,colony_id_corr,site,species,nutrient,site_code,mgprot,mgafdw,cells,cells.mgprot,cells.mgAFDW,chla.ug.mgprot,chla.ug.mgAFDW,chlc2.ug.mgprot,chlc2.ug.mgAFDW,prot_mg.cm2,prot_mg.mgafdw,cre.umol.mgafdw,cre.umol.cm2,chla.ug.cell,chlc2.ug.cell,Ratio_AFDW.mg.cm2,Total_Chl,Total_Chl_cell
1,ACR-140,0.163599186,timepoint1,0.85124911,0.81850876,147.3561321,191.1504433,0.811578037,0.529006304,391.1590476,24.43468045,403797.655,0.739543227,0.002678071,0.415399972,Jan-20,ACR-140,Manava,Acropora,High,Manava High,9.557846335,20.8,9866666.667,1032310.661,474358.9744,2.074803183,0.953396635,1.352407179,0.621447115,0.391159048,0.459511843,0.075175763,0.063993302,2.01E-06,1.31E-06,0.490196078,1.57484375,3.32E-06
2,ACR-140,0.126548044,timepoint2,1.05579895,0.879832458,69.38028828,96.75407563,1.184479946,0.296539282,411.5409587,NA,649334.684,1.260577767,0.002167449,0.493482133,Mar-20,ACR-140,Manava,Acropora,High,Manava High,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.411540959,NA,NA,NA,NA,NA,0.454545455,NA,NA
3,ACR-140,0.232718129,timepoint3,0.2166341,0.220019008,114.772582,150.1975912,0.791218816,0.804426726,321.5366293,NA,273425.331,0.486589502,0.001478839,0.191328021,Sep-20,ACR-140,Manava,Acropora,High,Manava High,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.321536629,NA,NA,NA,NA,NA,0.503875969,NA,NA
4,ACR-140,NA,timepoint4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nov-20,ACR-140,Manava,Acropora,High,Manava High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,ACR-150,0.088775814,timepoint1,1.075952038,1.293866375,128.2512543,161.138985,1.68067624,0.880642909,557.2874956,32.30627274,909111.3739,2.034238312,0.003363935,0.839834245,Jan-20,ACR-150,Manava,Acropora,High,Manava High,18.00388183,34.76,29370000,1631314.862,844936.7089,3.015815451,1.562036392,1.580230878,0.818477848,0.557287496,0.517948269,0.045981279,0.049473651,1.85E-06,9.69E-07,0.545977011,2.380514241,2.82E-06
6,ACR-150,0.002052082,timepoint2,1.672635779,0.818137066,234.2314765,293.6226334,2.39222066,0.592676671,675.6226867,NA,1825657.712,1.396770193,0.002102101,0.421652836,Mar-20,ACR-150,Manava,Acropora,High,Manava High,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.675622687,NA,NA,NA,NA,NA,0.328467153,NA,NA
7,ACR-150,0.324109026,timepoint3,1.024667535,1.159674407,131.1035956,169.0197562,1.548670743,0.438907338,515.8400671,NA,385981.1831,0.831654972,0.002476367,0.415152991,Sep-20,ACR-150,Manava,Acropora,High,Manava High,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.515840067,NA,NA,NA,NA,NA,0.530903328,NA,NA
8,ACR-150,0.590502694,timepoint4,2.717472072,1.367558997,174.9689471,221.7583139,0.824885118,0.248053145,308.468349,NA,445559.5443,0.975636766,0.002152865,0.169811816,Nov-20,ACR-150,Manava,Acropora,High,Manava High,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.308468349,NA,NA,NA,NA,NA,0.334773218,NA,NA
9,ACR-173,0.124996557,timepoint1,1.282327597,0.948660722,260.6047333,326.5464673,2.345792623,3.90772979,476.5595453,22.92705863,800364.3335,0.747472558,0.001818345,0.445812054,Jan-20,ACR-173,Manava,Acropora,High,Manava High,10.92610864,29.4,18350000,1679463.44,624149.6599,4.922349465,1.82932398,8.199877283,3.047372449,0.476559545,0.371636348,0.046453264,0.059568302,2.93E-06,4.88E-06,0.425219941,4.876696429,7.81E-06
10,ACR-173,0.124996557,timepoint1,1.282327597,0.948660722,260.6047333,326.5464673,1.794682897,1.945493782,476.5595453,22.92705863,800364.3335,0.747472558,0.001818345,0.445812054,Jan-20,ACR-173,Manava,Acropora,High,Manava High,10.92610864,29.4,18350000,1679463.44,624149.6599,3.765915329,1.39955102,4.082372919,1.517158163,0.476559545,0.371636348,0.046453264,0.059568302,2.24E-06,2.43E-06,0.425219941,2.916709184,4.67E-06
