colony_id,site,genotype,Am,timepoint
Apul-234,nursery,Genotype6,0.5990794011326618,timepoint0
Apul-237,nursery,Genotype15,0.8852395462797321,timepoint0
Apul-243,nursery,Genotype4,0.7177142368945246,timepoint0
Apul-244,nursery,Genotype8,0.09095107549904173,timepoint0
