colony_id,site,chla.ug.cm2,chlc2.ug.cm2,timepoint
1-ACR-1,site1,4.698945740611103,5.08228901184145,timepoint0
1-ACR-2,site1,3.161827862445068,6.3872267343185545,timepoint0
1-ACR-3,site1,4.246285936922685,5.962801365627248,timepoint0
2-ACR-1,site2,1.908315917735387,2.2468797756276535,timepoint0
2-ACR-2,site2,1.9546883744751833,2.3453353360972566,timepoint0
2-ACR-3,site2,1.4630093256741505,1.819407984922348,timepoint0
Apul_218,nursery,1.3458435096103494,1.6598036424454015,timepoint0
Apul_227,nursery,1.0292064819628386,1.3544947692081561,timepoint0
Apul_231,nursery,0.7225753650315005,0.9726200835794504,timepoint0
Apul_234,nursery,1.1195039345083502,0.8954583658305706,timepoint0
Apul_237,nursery,1.7575983051876605,2.408554981868503,timepoint0
Apul_243,nursery,0.9442074303610124,0.8286594442844947,timepoint0
Apul_244,nursery,0.5443120818411641,0.8824785118298497,timepoint0
Apul_246,nursery,0.8245521931143437,1.4541590356198668,timepoint0
Apul_247,nursery,1.2901059264240415,1.4391644048675425,timepoint0
Apul_267,nursery,1.0131041664395812,1.0767924900547863,timepoint0
