colony_id,site,genotype,prot_ug,prot_ug.cm2
Apul_234,nursery,Genotype6,5915.400512487646,129.98060291342605
Apul_237,nursery,Genotype15,10531.973178049911,294.30097764483935
Apul_243,nursery,Genotype4,6243.363168362791,168.3885311855812
Apul_244,nursery,Genotype8,3724.7322981234656,102.23858960389339
