colony_id,Am,AQY,Rd,timepoint
1-ACR-1,2.1650414645410234,0.0030309084045952064,0.6414755256179138,timepoint0
1-ACR-2,1.3772788661090711,0.0037109672677695027,0.4912265141547642,timepoint0
1-ACR-3,1.6442886852605811,0.0028521805652121164,0.4927319030688282,timepoint0
2-ACR-1,1.4099807409530347,0.0020215202377424314,0.42106097254778424,timepoint0
2-ACR-2,1.745727952013265,0.0026822646161456885,0.5629838016483971,timepoint0
2-ACR-3,1.1066481244792397,0.0037737895595033382,0.39244660672395887,timepoint0
Apul-218,0.8806076645787825,0.0018076718766964033,0.26196211989776297,timepoint0
Apul-227,0.6464724641110625,0.0015144060122853835,0.17839617149494874,timepoint0
Apul-231,0.1368096583950585,7.258125739982843e-4,0.12527754307425132,timepoint0
Apul-234,0.5990794011326618,0.001965683154790177,0.11936586778894911,timepoint0
Apul-237,0.8852395462797321,0.003126196980959819,0.2816210224077026,timepoint0
Apul-243,0.7177142368945246,0.0029605858496758487,0.15751492227927663,timepoint0
Apul-244,0.09095107549904173,9.005722071063831e-4,0.09995720075277721,timepoint0
Apul-246,0.388819618083667,0.003074673338998776,0.317595294872869,timepoint0
Apul-247,0.6353782171757306,0.0017253246861165454,0.1826976296904691,timepoint0
Apul-267,0.4261226795670969,0.002564796634643618,0.08755294009665598,timepoint0
