colony_id,site,chla.ug.cm2,timepoint
1-ACR-1,site1,4.698945740611103,timepoint0
1-ACR-2,site1,3.161827862445068,timepoint0
1-ACR-3,site1,4.246285936922685,timepoint0
2-ACR-1,site2,1.908315917735387,timepoint0
2-ACR-2,site2,1.9546883744751833,timepoint0
2-ACR-3,site2,1.4630093256741505,timepoint0
Apul_218,nursery,1.3458435096103494,timepoint0
Apul_227,nursery,1.0292064819628386,timepoint0
Apul_231,nursery,0.7225753650315005,timepoint0
Apul_234,nursery,1.1195039345083502,timepoint0
Apul_237,nursery,1.7575983051876605,timepoint0
Apul_243,nursery,0.9442074303610124,timepoint0
Apul_244,nursery,0.5443120818411641,timepoint0
Apul_246,nursery,0.8245521931143437,timepoint0
Apul_247,nursery,1.2901059264240415,timepoint0
Apul_267,nursery,1.0131041664395812,timepoint0
