colony_id,site,genotype,Rd,timepoint
Apul-234,nursery,Genotype6,0.11936586778894911,timepoint0
Apul-237,nursery,Genotype15,0.2816210224077026,timepoint0
Apul-243,nursery,Genotype4,0.15751492227927663,timepoint0
Apul-244,nursery,Genotype8,0.09995720075277721,timepoint0
