colony_id,site,cells.cm2,timepoint
1-ACR-1,site1,1346096.5560262017,timepoint0
1-ACR-2,site1,501906.40855021577,timepoint0
1-ACR-3,site1,826362.674921161,timepoint0
2-ACR-1,site2,719479.3963766752,timepoint0
2-ACR-2,site2,742800.4426244766,timepoint0
2-ACR-3,site2,479558.38763950014,timepoint0
Apul_218,nursery,559193.8940447164,timepoint0
Apul_227,nursery,512579.8320942273,timepoint0
Apul_231,nursery,301322.47418939683,timepoint0
Apul_234,nursery,580899.6136610764,timepoint0
Apul_237,nursery,621185.6622156859,timepoint0
Apul_243,nursery,342192.0897126511,timepoint0
Apul_244,nursery,298579.486795566,timepoint0
Apul_246,nursery,469295.499780503,timepoint0
Apul_247,nursery,686147.9471874147,timepoint0
Apul_267,nursery,478113.2319746476,timepoint0
