ANOVA p-values,AFDW (mg/cm2),Host Protein (ug/cm2),Total CHL (ug/cm2),Total CHL  (ug/cell),Sym Dens (cells/cm2),Am,AQY,Rd
site,0.233,0.000378,0.0296,0.07759,0.314,0.1046,0.817,0.073785
timepoint,0.44,1.09E-06,0.01,0.00302,3.45E-05,0.0575,0.11,0.000507
site*timepoint,0.871,0.439673,0.1186,0.60453,0.354,0.9007,0.701,0.982903
F-Values,,,,,,,,
"site (F2, 18)",1.579,12.6,4.307,2.956,1.237,2.566,0.204,3.023
"timepoint (F1, 18)",0.622,51.66,8.282,11.73,29.845,4.119,2.818,17.868
"site*timepoint (F2, 18)",0.139,0.86,2.406,0.518,1.102,0.105,0.362,0.017
Post-hoc Results,,,,,,,,
site2-site1,0.9772893,0.0058392,0.9179139,0.5382293,0.9921067,0.7982503,0.9585114,0.4108741
site3-site1,0.2587555,0.4314068,0.0783381,0.3887023,0.4142604,0.2882662,0.8020185,0.4952908
site3-site2,0.3488087,0.000368,0.035965,0.0639572,0.3529259,0.0977658,0.9316183,0.0602435
,,,,,,,,
tp_4-tp_1,0.4404929,1.10E-06,0.0100111,0.0030201,3.45E-05,0.0574584,0.1104793,0.0005068
,,,,,,,,
site2:tp_1 - site1:tp_1,1,0.2000933,0.981411,0.9925548,0.9753885,0.989645,0.998627,0.9335115
site3:tp_1 - site1:tp_1,0.7546669,0.5214821,0.1161861,0.5774422,0.7750813,0.7912132,1,0.9347671
site1:tp_4 - site1:tp_1,0.9966824,0.0017462,0.3206104,0.7411355,0.0726608,0.8341356,0.9995908,0.1731416
site2:tp_4 - site1:tp_1,0.9658007,0.3050966,0.2654078,0.2280574,0.0237251,0.9455559,0.8808417,0.6125112
site3:tp_4 - site1:tp_1,0.7118413,0.0015878,0.1311628,0.8661594,0.0255961,0.3218508,0.8466172,0.0465394
site3:tp_1 - site2:tp_1,0.7373223,0.0064587,0.0307724,0.2804228,0.3582788,0.4434696,0.9978755,0.4584014
site1:tp_4 - site2:tp_1,0.9955112,0.0000136,0.1021325,0.96081,0.0167035,0.4931562,0.9804347,0.0296243
site2:tp_4 - site2:tp_1,0.9597805,0.0027177,0.080647,0.4989698,0.0051281,0.6776892,0.6832237,0.1688855
site3:tp_4 - site2:tp_1,0.6937134,0.0000125,0.0352644,0.9922726,0.0055459,0.1197659,0.6351267,0.0068082
site1:tp_4 - site3:tp_1,0.94645,0.0654489,0.9885068,0.0672611,0.5641126,0.9999991,0.9997847,0.6185557
site2:tp_4 - site3:tp_1,0.9924501,0.9982805,0.9959926,0.0093259,0.270023,0.9984996,0.8950844,0.983276
site3:tp_4 - site3:tp_1,0.9999996,0.0599692,0.9999998,0.1082769,0.2856634,0.956429,0.8629498,0.2484091
site2:tp_4 - site1:tp_4,0.9994674,0.1398069,0.9999946,0.922026,0.992399,0.9995471,0.9670983,0.937517
site3:tp_4 - site1:tp_4,0.9256789,1,0.993213,0.9998329,0.9944452,0.9350757,0.9505561,0.9788747
site3:tp_4 - site2:tp_4,0.9865588,0.1290349,0.9980068,0.8210872,1,0.8149695,0.9999994,0.5965042
