"","colony_id","site","chla.ug.cm2","timepoint","chlc2.ug.cm2","cells.cm2","chla.ug.cell","chlc2.ug.cell"
"1","1-ACR-1","site1",4.6989457406111,"timepoint0",5.08228901184145,1346096.5560262,3.49079396984925e-06,3.77557537688442e-06
"2","1-ACR-2","site1",3.16182786244507,"timepoint0",6.38722673431855,501906.408550216,6.29963636363636e-06,1.27259318181818e-05
"3","1-ACR-3","site1",4.24628593692268,"timepoint0",5.96280136562725,826362.674921161,5.13852581413821e-06,7.21571961874504e-06
"4","2-ACR-1","site2",1.90831591773539,"timepoint0",2.24687977562765,719479.396376675,2.65235658914729e-06,3.12292441860465e-06
"5","2-ACR-2","site2",1.95468837447518,"timepoint0",2.34533533609726,742800.442624477,2.63151212938005e-06,3.15742318059299e-06
"6","2-ACR-3","site2",1.46300932567415,"timepoint0",1.81940798492235,479558.3876395,3.05074285714286e-06,3.79392380952381e-06
"7","Apul_218","nursery",1.34584350961035,"timepoint0",1.6598036424454,559193.894044716,2.4067564469914e-06,2.96820773638969e-06
"8","Apul_227","nursery",1.02920648196284,"timepoint0",1.35449476920816,512579.832094227,2.007895e-06,2.642505e-06
"9","Apul_231","nursery",0.722575365031501,"timepoint0",0.97262008357945,301322.474189397,2.39801351351351e-06,3.22783783783784e-06
"10","Apul_234","nursery",1.11950393450835,"timepoint0",0.895458365830571,580899.613661076,1.92719001386963e-06,1.5415027739251e-06
"11","Apul_237","nursery",1.75759830518766,"timepoint0",2.4085549818685,621185.662215686,2.82942510121458e-06,3.8773512145749e-06
"12","Apul_243","nursery",0.944207430361012,"timepoint0",0.828659444284495,342192.089712651,2.75929064039409e-06,2.42162068965517e-06
"13","Apul_244","nursery",0.544312081841164,"timepoint0",0.88247851182985,298579.486795566,1.82300561797753e-06,2.95558988764045e-06
"14","Apul_246","nursery",0.824552193114344,"timepoint0",1.45415903561987,469295.499780503,1.757e-06,3.0986e-06
"15","Apul_247","nursery",1.29010592642404,"timepoint0",1.43916440486754,686147.947187415,1.88021538461538e-06,2.09745494505495e-06
"16","Apul_267","nursery",1.01310416643958,"timepoint0",1.07679249005479,478113.231974648,2.11896282864914e-06,2.25217044424297e-06
