colony_id,site,avg_prot_ug.cm2,timepoint
1-ACR-1,site1,324.6897605723639,timepoint0
1-ACR-2,site1,314.84126459073093,timepoint0
1-ACR-3,site1,251.25347659638297,timepoint0
2-ACR-1,site2,191.54696600521117,timepoint0
2-ACR-2,site2,236.7730434107923,timepoint0
2-ACR-3,site2,247.38983653921872,timepoint0
Apul_218,nursery,168.42365087036592,timepoint0
Apul_227,nursery,137.31955593571183,timepoint0
Apul_231,nursery,94.4372562987435,timepoint0
Apul_234,nursery,73.82468466511115,timepoint0
Apul_237,nursery,173.8320181358559,timepoint0
Apul_243,nursery,99.7348324149807,timepoint0
Apul_244,nursery,76.37576728521776,timepoint0
Apul_246,nursery,128.58016910924147,timepoint0
Apul_247,nursery,145.87934826735082,timepoint0
Apul_267,nursery,100.75773721197392,timepoint0
