colony_id,site,genotype,chlc2.ug.cm2,timepoint
Apul_234,nursery,Genotype6,0.8954583658305706,timepoint0
Apul_237,nursery,Genotype15,2.408554981868503,timepoint0
Apul_243,nursery,Genotype4,0.8286594442844947,timepoint0
Apul_244,nursery,Genotype8,0.8824785118298497,timepoint0
