colony_id,site,genotype,chla.ug.cm2,timepoint
Apul_234,nursery,Genotype6,1.1195039345083502,timepoint0
Apul_237,nursery,Genotype15,1.7575983051876605,timepoint0
Apul_243,nursery,Genotype4,0.9442074303610124,timepoint0
Apul_244,nursery,Genotype8,0.5443120818411641,timepoint0
