Date,Sample.ID,Fragment.ID,Chamber.Channel,Position,Run,Species,Sample.Type,Chamber.Vol.L,Surf.Area.cm2,Start time,Stop Time,Light_Dark,Light_Level,Light_Value,Notes,QC
20191025,2-POC-1,2-POC-1,1,7,1,Pocillopora,Coral,0.608,45.44,10:28,10:39,Dark,1,0,,
20191025,2-POC-2,2-POC-2,2,8,1,Pocillopora,Coral,0.618,44.45,10:28,10:39,Dark,1,0,,
20191025,BLANK1,BLANK1,3,9,1,Blank,Blank,0.622,NA,10:28,10:39,Dark,1,0,,
20191025,2-POR-1,2-POR-1,4,10,1,Porites,Coral,0.61,6.157521601,10:28,10:39,Dark,1,0,,
20191025,2-POR-2,2-POR-2,5,11,1,Porites,Coral,0.595,26.42079422,10:28,10:39,Dark,1,0,,
20191025,2-ACR-1,2-ACR-1,6,12,1,Apulchra,Coral,0.6,9.56614963,10:28,10:39,Dark,1,0,,
20191025,2-POC-1,2-POC-1,1,7,1,Pocillopora,Coral,0.608,45.44,10:41,10:49,Light,2,25,,
20191025,2-POC-2,2-POC-2,2,8,1,Pocillopora,Coral,0.618,44.45,10:41,10:49,Light,2,25,,
20191025,BLANK1,BLANK1,3,9,1,Blank,Blank,0.622,NA,10:41,10:49,Light,2,25,,
20191025,2-POR-1,2-POR-1,4,10,1,Porites,Coral,0.61,6.157521601,10:41,10:49,Light,2,25,,
20191025,2-POR-2,2-POR-2,5,11,1,Porites,Coral,0.595,26.42079422,10:41,10:49,Light,2,25,,
20191025,2-ACR-1,2-ACR-1,6,12,1,Apulchra,Coral,0.6,9.56614963,10:41,10:49,Light,2,25,,
20191025,2-POC-1,2-POC-1,1,7,1,Pocillopora,Coral,0.608,45.44,10:51,10:59,Light,3,42.83333333,,
20191025,2-POC-2,2-POC-2,2,8,1,Pocillopora,Coral,0.618,44.45,10:51,10:59,Light,3,42.83333333,,
20191025,BLANK1,BLANK1,3,9,1,Blank,Blank,0.622,NA,10:51,10:59,Light,3,42.83333333,,
20191025,2-POR-1,2-POR-1,4,10,1,Porites,Coral,0.61,6.157521601,10:51,10:59,Light,3,42.83333333,,
20191025,2-POR-2,2-POR-2,5,11,1,Porites,Coral,0.595,26.42079422,10:51,10:59,Light,3,42.83333333,,
20191025,2-ACR-1,2-ACR-1,6,12,1,Apulchra,Coral,0.6,9.56614963,10:51,10:59,Light,3,42.83333333,,
