Date,Sample-ID,Fragment-ID,Chamber.Channel,Position,Run,Species,Sample.Type,Chamber.Vol.L,Surf.Area.cm2,Start time,Stop Time,Light_Dark,Light_Level,Light_Value,Notes,QC
20191024,1-POR-1,1-POR-1,7,7,PI,Porites,Coral,0.6,11.43,16:17,16:28,Dark,1,0,,
20191024,1-ACR-1,1-ACR-1,8,8,PI,Apulchra,Coral,0.616,8.01,16:17,16:28,Dark,1,0,,
20191024,1-POC-1,1-POC-1,9,9,PI,Pocillopora,Coral,0.604,33.92,16:17,16:28,Dark,1,0,,
20191024,1-POC-2,1-POC-2,10,10,PI,Pocillopora,Coral,0.61,41.64,16:17,16:28,Dark,1,0,,
20191024,1-POR-2,1-POR-2,1,11,PI,Porites,Coral,0.595,20.43,16:17,16:28,Dark,1,0,,
20191024,1-ACR-2,1-ACR-2,2,12,PI,Apulchra,Coral,0.61,7.7,16:17,16:28,Dark,1,0,,
20191024,1-POR-1,1-POR-1,7,7,PI,Porites,Coral,0.6,11.43,16:30,16:40,Light,2,25,,
20191024,1-ACR-1,1-ACR-1,8,8,PI,Apulchra,Coral,0.616,8.01,16:30,16:40,Light,2,25,,
20191024,1-POC-1,1-POC-1,9,9,PI,Pocillopora,Coral,0.604,33.92,16:30,16:40,Light,2,25,,
20191024,1-POC-2,1-POC-2,10,10,PI,Pocillopora,Coral,0.61,41.64,16:30,16:40,Light,2,25,,
20191024,1-POR-2,1-POR-2,1,11,PI,Porites,Coral,0.595,20.43,16:30,16:40,Light,2,25,,
20191024,1-ACR-2,1-ACR-2,2,12,PI,Apulchra,Coral,0.61,7.7,16:30,16:40,Light,2,25,,
20191024,1-POR-1,1-POR-1,7,7,PI,Porites,Coral,0.6,11.43,16:42,16:55,Light,3,45,,
20191024,1-ACR-1,1-ACR-1,8,8,PI,Apulchra,Coral,0.616,8.01,16:42,16:55,Light,3,45,,
20191024,1-POC-1,1-POC-1,9,9,PI,Pocillopora,Coral,0.604,33.92,16:42,16:55,Light,3,45,,
20191024,1-POC-2,1-POC-2,10,10,PI,Pocillopora,Coral,0.61,41.64,16:42,16:55,Light,3,45,,
20191024,1-POR-2,1-POR-2,1,11,PI,Porites,Coral,0.595,20.43,16:42,16:55,Light,3,45,,
20191024,1-ACR-2,1-ACR-2,2,12,PI,Apulchra,Coral,0.61,7.7,16:42,16:53,Light,3,45,,
20191024,1-POR-1,1-POR-1,7,7,PI,Porites,Coral,0.6,11.43,16:55,17:05,Light,4,73,,
20191024,1-ACR-1,1-ACR-1,8,8,PI,Apulchra,Coral,0.616,8.01,16:55,17:05,Light,4,73,,
20191024,1-POC-1,1-POC-1,9,9,PI,Pocillopora,Coral,0.604,33.92,16:55,17:05,Light,4,73,,
20191024,1-POC-2,1-POC-2,10,10,PI,Pocillopora,Coral,0.61,41.64,16:55,17:05,Light,4,73,,
20191024,1-POR-2,1-POR-2,1,11,PI,Porites,Coral,0.595,20.43,16:55,17:05,Light,4,73,,
20191024,1-ACR-2,1-ACR-2,2,12,PI,Apulchra,Coral,0.61,7.7,16:55,17:05,Light,4,73,,
20191024,1-POR-1,1-POR-1,7,7,PI,Porites,Coral,0.6,11.43,17:07,17:20,Light,5,127,,
20191024,1-ACR-1,1-ACR-1,8,8,PI,Apulchra,Coral,0.616,8.01,17:07,17:20,Light,5,127,,
20191024,1-POC-1,1-POC-1,9,9,PI,Pocillopora,Coral,0.604,33.92,17:07,17:20,Light,5,127,,
20191024,1-POC-2,1-POC-2,10,10,PI,Pocillopora,Coral,0.61,41.64,17:07,17:20,Light,5,127,,
20191024,1-POR-2,1-POR-2,1,11,PI,Porites,Coral,0.595,20.43,17:07,17:20,Light,5,127,,
