Date,Sample.ID,Fragment.ID,Chamber.Channel,Position,Run,Species,Sample.Type,Chamber.Vol.L,Surf.Area.cm2,Start time,Stop Time,Light_Dark,Light_Level,Light_Value,Notes,QC
20191023,Apul-1,Apul-1,4,7,PI,Apulchra,Coral,0.612,30,18:52,19:07,Dark,1,0,,
20191023,Apul-2,Apul-2,7,8,PI,Apulchra,Coral,0.61,30,18:52,19:07,Dark,1,0,,
20191023,Apul-3,Apul-3,8,9,PI,Apulchra,Coral,0.616,30,18:52,19:07,Dark,1,0,,
20191023,Apul-4,Apul-4,9,10,PI,Apulchra,Coral,0.614,30,18:52,19:07,Dark,1,0,,
20191023,Blank,Blank,10,12,PI,Blank,Blank,0.62,30,18:52,19:07,Dark,1,0,,
20191023,Apul-1,Apul-1,4,7,PI,Apulchra,Coral,0.612,30,19:11,19:22,Light,2,20,,
20191023,Apul-2,Apul-2,7,8,PI,Apulchra,Coral,0.61,30,19:11,19:22,Light,2,20,,
20191023,Apul-3,Apul-3,8,9,PI,Apulchra,Coral,0.616,30,19:11,19:22,Light,2,20,,
20191023,Apul-4,Apul-4,9,10,PI,Apulchra,Coral,0.614,30,19:11,19:22,Light,2,20,,
20191023,Blank,Blank,10,12,PI,Blank,Blank,0.62,30,19:11,19:22,Light,2,20,,
20191023,Apul-1,Apul-1,4,7,PI,Apulchra,Coral,0.612,30,19:24,19:34,Light,3,38,,
20191023,Apul-2,Apul-2,7,8,PI,Apulchra,Coral,0.61,30,19:24,19:34,Light,3,38,,
20191023,Apul-3,Apul-3,8,9,PI,Apulchra,Coral,0.616,30,19:24,19:34,Light,3,38,,
20191023,Apul-4,Apul-4,9,10,PI,Apulchra,Coral,0.614,30,19:24,19:34,Light,3,38,,
20191023,Blank,Blank,10,12,PI,Blank,Blank,0.62,30,19:24,19:34,Light,3,38,,
20191023,Apul-1,Apul-1,4,7,PI,Apulchra,Coral,0.612,30,19:36,19:47,Light,4,80,,
20191023,Apul-2,Apul-2,7,8,PI,Apulchra,Coral,0.61,30,19:36,19:47,Light,4,80,,
20191023,Apul-3,Apul-3,8,9,PI,Apulchra,Coral,0.616,30,19:36,19:47,Light,4,80,,
20191023,Apul-4,Apul-4,9,10,PI,Apulchra,Coral,0.614,30,19:36,19:47,Light,4,80,,
20191023,Blank,Blank,10,12,PI,Blank,Blank,0.62,30,19:36,19:47,Light,4,80,,
20191023,Apul-1,Apul-1,4,7,PI,Apulchra,Coral,0.612,30,19:49,20:01,Light,5,115,,
20191023,Apul-2,Apul-2,7,8,PI,Apulchra,Coral,0.61,30,19:49,20:01,Light,5,115,,
20191023,Apul-3,Apul-3,8,9,PI,Apulchra,Coral,0.616,30,19:49,20:01,Light,5,115,,
20191023,Apul-4,Apul-4,9,10,PI,Apulchra,Coral,0.614,30,19:49,20:01,Light,5,115,,
20191023,Blank,Blank,10,12,PI,Blank,Blank,0.62,30,19:49,20:01,Light,5,115,,
20191023,Apul-1,Apul-1,4,7,PI,Apulchra,Coral,0.612,30,20:03,20:14,Light,6,162,,
20191023,Apul-2,Apul-2,7,8,PI,Apulchra,Coral,0.61,30,20:03,20:14,Light,6,162,,
20191023,Apul-3,Apul-3,8,9,PI,Apulchra,Coral,0.616,30,20:03,20:14,Light,6,162,,
20191023,Apul-4,Apul-4,9,10,PI,Apulchra,Coral,0.614,30,20:03,20:14,Light,6,162,,
20191023,Blank,Blank,10,12,PI,Blank,Blank,0.62,30,20:03,20:14,Light,6,162,,
20191023,Apul-1,Apul-1,4,7,PI,Apulchra,Coral,0.612,30,20:16,20:27,Light,7,287,,
20191023,Apul-2,Apul-2,7,8,PI,Apulchra,Coral,0.61,30,20:16,20:27,Light,7,287,,
20191023,Apul-3,Apul-3,8,9,PI,Apulchra,Coral,0.616,30,20:16,20:27,Light,7,287,,
20191023,Apul-4,Apul-4,9,10,PI,Apulchra,Coral,0.614,30,20:16,20:27,Light,7,287,,
20191023,Blank,Blank,10,12,PI,Blank,Blank,0.62,30,20:16,20:27,Light,7,287,,
20191023,Apul-1,Apul-1,4,7,PI,Apulchra,Coral,0.612,30,20:29,20:39,Light,8,378,,
20191023,Apul-2,Apul-2,7,8,PI,Apulchra,Coral,0.61,30,20:29,20:39,Light,8,378,,
20191023,Apul-3,Apul-3,8,9,PI,Apulchra,Coral,0.616,30,20:29,20:39,Light,8,378,,
20191023,Apul-4,Apul-4,9,10,PI,Apulchra,Coral,0.614,30,20:29,20:39,Light,8,378,,
20191023,Blank,Blank,10,12,PI,Blank,Blank,0.62,30,20:29,20:39,Light,8,378,,
20191023,Apul-1,Apul-1,4,7,PI,Apulchra,Coral,0.612,30,20:41,20:50,Light,9,458,,
20191023,Apul-2,Apul-2,7,8,PI,Apulchra,Coral,0.61,30,20:41,20:50,Light,9,458,,
20191023,Apul-3,Apul-3,8,9,PI,Apulchra,Coral,0.616,30,20:41,20:50,Light,9,458,,
20191023,Apul-4,Apul-4,9,10,PI,Apulchra,Coral,0.614,30,20:41,20:50,Light,9,458,,
20191023,Blank,Blank,10,12,PI,Blank,Blank,0.62,30,20:41,20:50,Light,9,458,,
