Target,WBR % ,Position7,Position8,Position9,Position10,Position11,Position12,Average,Step
0,0,0,0,0,0,0,0,0,1
20,5,25,29,23,24,24,25,25,2
40,7,41,46,40,41,45,44,42.83333333,3
80,10,69,74,63,64,68,69,67.83333333,4
110,14,115,127,107,108,119,116,115.3333333,5
160,19,162,181,156,162,168,164,165.5,6
270,30,315,329,300,295,339,312,315,7
480,48,505,510,472,463,505,506,493.5,8
630,66,688,710,659,624,678,703,677,9
860,78,772,875,734,794,882,836,815.5,10
1100,100,1035,1140,1025,1018,1155,1064,1072.833333,11
1300,100+lowered ,1296,1528,1342,1192,1122,1240,1286.666667,12
