Target,WBR % ,Position7,Position8,Position9,Position10,Position11,Position12,Average,Step
0,0,0,0,0,0,0,0,0.0,1
20,5,23,25,26,28,26,22,25.0,2
40,8,45,52,45,48,47,36,45.5,3
80,10,72,77,75,78,71,114,81.2,4
110,14,120,128,115,146,129,114,125.3,5
160,19,171,181,176,187,175,162,175.3,6
270,30,320,368,358,385,335,306,345.3,7
480,48,485,560,514,585,535,466,524.2,8
630,66,675,760,716,780,704,637,712.0,9
860,78,815,945,892,946,907,830,889.2,10
1100,100,1146,1260,1130,1225,1142,1027,1155.0,11
