Target,WBR % ,Position7,Position8,Position9,Position10,Position11,Position12,Average,Step
0,0,0,0,0,0,0,0,0.0,1
20,5,27,27,26,24,28,30,27.0,2
40,8,46,48,45,41,49,56,47.5,3
80,10,69,73,72,64,78,87,73.8,4
110,14,123,124,118,110,135,142,125.3,5
160,19,172,184,170,161,192,199,179.7,6
270,30,333,348,326,298,360,384,341.5,7
480,48,524,526,515,476,590,602,538.8,8
630,66,730,753,654,720,612,662,688.5,9
860,78,925,966,944,921,914,908,929.7,10
1100,100,1164,1390,1093,1103,1072,1141,1160.5,11
