colony_id,homog_vol_ml
1-ACR-1,16
1-ACR-2,13
1-ACR-3,14.5
1-POC-1,34
1-POC-2,32.5
1-POC-3,42.5
1-POR-1,40
1-POR-2,42.5
1-POR-3,100
2-ACR-1,8
2-ACR-2,17.5
2-ACR-3,22.5
2-POC-1,20
2-POC-2,27.5
2-POC-3,37.5
2-POR-1,50
2-POR-2,98.5
2-POR-3,150
3-POR-1,37.5
3-POR-2,97.5
3-POR-3,54
3-POC-1,17
3-POC-2,13.5
3-POC-3,27.5
Apul_218,13.5
Apul_237,13.5
Apul_246,26
Apul_227,9.5
Apul_234,11
Apul_247,26
Apul_267,45
Apul_231,19
Apul_243,12.5
Apul_244,27.5
